sensor_id,date,reading
642,2018-09-07 13:00:00,11.3334
642,2018-09-07 12:00:00,12.7021
642,2018-09-07 11:00:00,15.3369
642,2018-09-07 10:00:00,16.7608
642,2018-09-07 09:00:00,19.4419
642,2018-09-07 08:00:00,23.6907
642,2018-09-07 07:00:00,16.8755
642,2018-09-07 06:00:00,17.9362
642,2018-09-07 05:00:00,17.4279
642,2018-09-07 04:00:00,15.6471
642,2018-09-07 03:00:00,16.7396
642,2018-09-07 02:00:00,18.7812
642,2018-09-07 01:00:00,18.8199
642,2018-09-07 00:00:00,21.1834
642,2018-09-06 23:00:00,25.9352
642,2018-09-06 22:00:00,27.6449
642,2018-09-06 21:00:00,27.9083
642,2018-09-06 20:00:00,27.7798
642,2018-09-06 19:00:00,12.7658
642,2018-09-06 18:00:00,10.7391
642,2018-09-06 17:00:00,10.7231
642,2018-09-06 16:00:00,10.0571
642,2018-09-06 15:00:00,9.60408
642,2018-09-06 14:00:00,9.9987
642,2018-09-06 13:00:00,10.2
642,2018-09-06 12:00:00,12.4259
642,2018-09-06 11:00:00,18.4227
642,2018-09-06 10:00:00,20.5205
642,2018-09-06 09:00:00,27.2731
642,2018-09-06 08:00:00,32.5013
642,2018-09-06 07:00:00,28.8276
642,2018-09-06 06:00:00,25.0191
642,2018-09-06 05:00:00,33.1971
642,2018-09-06 04:00:00,39.8211
642,2018-09-06 03:00:00,41.8053
642,2018-09-06 02:00:00,49.302
642,2018-09-06 01:00:00,57.2644
642,2018-09-06 00:00:00,54.4139
642,2018-09-05 23:00:00,53.9524
642,2018-09-05 22:00:00,44.5045
642,2018-09-05 21:00:00,38.0796
642,2018-09-05 20:00:00,26.2289
642,2018-09-05 19:00:00,8.98906
642,2018-09-05 18:00:00,6.32182
642,2018-09-05 17:00:00,5.69935
642,2018-09-05 16:00:00,5.90702
642,2018-09-05 15:00:00,6.98624
642,2018-09-05 14:00:00,8.28321
642,2018-09-05 13:00:00,8.9216
642,2018-09-05 12:00:00,9.08837
642,2018-09-05 11:00:00,14.485
642,2018-09-05 10:00:00,25.3908
642,2018-09-05 09:00:00,32.8455
642,2018-09-05 08:00:00,39.4961
642,2018-09-05 07:00:00,39.4414
642,2018-09-05 06:00:00,32.1694
642,2018-09-05 05:00:00,30.6021
642,2018-09-05 04:00:00,30.6993
642,2018-09-05 03:00:00,33.2667
642,2018-09-05 02:00:00,31.7976
642,2018-09-05 01:00:00,32.3988
644,2018-09-07 13:00:00,117.033
644,2018-09-07 12:00:00,102.173
644,2018-09-07 11:00:00,76.0478
644,2018-09-07 10:00:00,50.0628
644,2018-09-07 09:00:00,32.8606
644,2018-09-07 08:00:00,15.9206
644,2018-09-07 07:00:00,16.4261
644,2018-09-07 06:00:00,12.1011
644,2018-09-07 05:00:00,13.4522
644,2018-09-07 04:00:00,21.33
644,2018-09-07 03:00:00,21.8122
644,2018-09-07 02:00:00,24.5256
644,2018-09-07 01:00:00,39.4233
644,2018-09-07 00:00:00,48.69
644,2018-09-06 23:00:00,39.4933
644,2018-09-06 22:00:00,48.5411
644,2018-09-06 21:00:00,54.7511
644,2018-09-06 20:00:00,57.0756
644,2018-09-06 19:00:00,99.6611
644,2018-09-06 18:00:00,104.677
644,2018-09-06 17:00:00,110.444
644,2018-09-06 16:00:00,118.093
644,2018-09-06 15:00:00,114.473
644,2018-09-06 14:00:00,106.883
644,2018-09-06 13:00:00,105.096
644,2018-09-06 12:00:00,93.2106
644,2018-09-06 11:00:00,73.2483
644,2018-09-06 10:00:00,56.8128
644,2018-09-06 09:00:00,26.29
644,2018-09-06 08:00:00,9.62111
644,2018-09-06 07:00:00,2.19722
644,2018-09-06 06:00:00,1.415
644,2018-09-06 05:00:00,1.36333
644,2018-09-06 04:00:00,1.28222
644,2018-09-06 03:00:00,1.38333
644,2018-09-06 02:00:00,1.72722
644,2018-09-06 01:00:00,1.93389
644,2018-09-06 00:00:00,3.11111
644,2018-09-05 23:00:00,5.46111
644,2018-09-05 22:00:00,25.5417
644,2018-09-05 21:00:00,46.9389
644,2018-09-05 20:00:00,77.0683
644,2018-09-05 19:00:00,100.491
644,2018-09-05 18:00:00,107.433
644,2018-09-05 17:00:00,104.429
644,2018-09-05 16:00:00,103.441
644,2018-09-05 15:00:00,103.198
644,2018-09-05 14:00:00,98.5006
644,2018-09-05 13:00:00,94.5033
644,2018-09-05 12:00:00,88.445
644,2018-09-05 11:00:00,68.4761
644,2018-09-05 10:00:00,30.6422
644,2018-09-05 09:00:00,16.1
644,2018-09-05 08:00:00,7.41389
644,2018-09-05 07:00:00,3.66722
644,2018-09-05 06:00:00,5.50556
644,2018-09-05 05:00:00,6.40111
644,2018-09-05 04:00:00,13.8761
644,2018-09-05 03:00:00,17.0372
644,2018-09-05 02:00:00,29.095
644,2018-09-05 01:00:00,43.5194
660,2018-09-07 13:00:00,374.224
660,2018-09-07 12:00:00,438.487
660,2018-09-07 11:00:00,513.059
660,2018-09-07 10:00:00,520.017
660,2018-09-07 09:00:00,486.392
660,2018-09-07 08:00:00,552.582
660,2018-09-07 07:00:00,499.4
660,2018-09-07 06:00:00,495.941
660,2018-09-07 05:00:00,439.142
660,2018-09-07 04:00:00,438.686
660,2018-09-07 03:00:00,433.122
660,2018-09-07 02:00:00,424.217
660,2018-09-07 01:00:00,388.351
660,2018-09-07 00:00:00,402.08
660,2018-09-06 23:00:00,439.706
660,2018-09-06 22:00:00,502.404
660,2018-09-06 21:00:00,480.241
660,2018-09-06 20:00:00,437.467
660,2018-09-06 19:00:00,381.527
660,2018-09-06 18:00:00,370.174
660,2018-09-06 17:00:00,349.727
660,2018-09-06 16:00:00,366.511
660,2018-09-06 15:00:00,350.576
660,2018-09-06 14:00:00,357.626
660,2018-09-06 13:00:00,365.926
660,2018-09-06 12:00:00,381.069
660,2018-09-06 11:00:00,413.618
660,2018-09-06 10:00:00,491.154
660,2018-09-06 09:00:00,595.243
660,2018-09-06 08:00:00,472.491
660,2018-09-06 07:00:00,456.54
660,2018-09-06 06:00:00,403.851
660,2018-09-06 05:00:00,408.294
660,2018-09-06 04:00:00,400.699
660,2018-09-06 03:00:00,401.369
660,2018-09-06 02:00:00,376.583
660,2018-09-06 01:00:00,404.608
